,Play,Player,PlayerLine
32473,Hamlet,HORATIO,"Tush, tush, 'twill not appear."
32474,Hamlet,BERNARDO,"Sit down awhile,"
32475,Hamlet,BERNARDO,"And let us once again assail your ears,"
32476,Hamlet,BERNARDO,That are so fortified against our story
32477,Hamlet,BERNARDO,What we have two nights seen.
32478,Hamlet,HORATIO,"Well, sit we down,"
32479,Hamlet,HORATIO,And let us hear Bernardo speak of this.
32480,Hamlet,BERNARDO,"Last night of all,"
32481,Hamlet,BERNARDO,When yond same star that's westward from the pole
32482,Hamlet,BERNARDO,Had made his course to illume that part of heaven
32483,Hamlet,BERNARDO,"Where now it burns, Marcellus and myself,"
32484,Hamlet,BERNARDO,"The bell then beating one,--"
32485,Hamlet,BERNARDO,Enter Ghost
32486,Hamlet,MARCELLUS,"Peace, break thee off, look, where it comes again!"
32487,Hamlet,BERNARDO,"In the same figure, like the king that's dead."
32488,Hamlet,MARCELLUS,"Thou art a scholar, speak to it, Horatio."
32489,Hamlet,BERNARDO,"Looks it not like the king?  mark it, Horatio."
32490,Hamlet,HORATIO,Most like: it harrows me with fear and wonder.
32491,Hamlet,BERNARDO,It would be spoke to.
32492,Hamlet,MARCELLUS,"Question it, Horatio."
32493,Hamlet,HORATIO,"What art thou that usurp'st this time of night,"
32494,Hamlet,HORATIO,Together with that fair and warlike form
32495,Hamlet,HORATIO,In which the majesty of buried Denmark
32496,Hamlet,HORATIO,"Did sometimes march? by heaven I charge thee, speak!"
32497,Hamlet,MARCELLUS,It is offended.
32498,Hamlet,BERNARDO,"See, it stalks away!"
32499,Hamlet,HORATIO,"Stay! speak, speak! I charge thee, speak!"
32500,Hamlet,HORATIO,Exit Ghost
32501,Hamlet,MARCELLUS,"'Tis gone, and will not answer."
32502,Hamlet,BERNARDO,"How now, Horatio! you tremble and look pale:"
32503,Hamlet,BERNARDO,Is not this something more than fantasy?
32504,Hamlet,BERNARDO,What think you on't?
32505,Hamlet,HORATIO,"Before my God, I might not this believe"
32506,Hamlet,HORATIO,Without the sensible and true avouch
32507,Hamlet,HORATIO,Of mine own eyes.
32508,Hamlet,MARCELLUS,Is it not like the king?
32509,Hamlet,HORATIO,As thou art to thyself:
32510,Hamlet,HORATIO,Such was the very armour he had on
32511,Hamlet,HORATIO,"When he the ambitious Norway combated,"
32512,Hamlet,HORATIO,"So frown'd he once, when, in an angry parle,"
32513,Hamlet,HORATIO,He smote the sledded Polacks on the ice.
32514,Hamlet,HORATIO,'Tis strange.
32515,Hamlet,MARCELLUS,"Thus twice before, and jump at this dead hour,"
32516,Hamlet,MARCELLUS,With martial stalk hath he gone by our watch.
32517,Hamlet,HORATIO,"In what particular thought to work I know not,"
32518,Hamlet,HORATIO,"But in the gross and scope of my opinion,"
32519,Hamlet,HORATIO,This bodes some strange eruption to our state.
32520,Hamlet,MARCELLUS,"Good now, sit down, and tell me, he that knows,"
32521,Hamlet,MARCELLUS,Why this same strict and most observant watch
32522,Hamlet,MARCELLUS,"So nightly toils the subject of the land,"
32523,Hamlet,MARCELLUS,"And why such daily cast of brazen cannon,"
32524,Hamlet,MARCELLUS,"And foreign mart for implements of war,"
32525,Hamlet,MARCELLUS,"Why such impress of shipwrights, whose sore task"
32526,Hamlet,MARCELLUS,"Does not divide the Sunday from the week,"
32527,Hamlet,MARCELLUS,"What might be toward, that this sweaty haste"
32528,Hamlet,MARCELLUS,Doth make the night joint-labourer with the day:
32529,Hamlet,MARCELLUS,Who is't that can inform me?
32530,Hamlet,HORATIO,"That can I,"
32531,Hamlet,HORATIO,"At least, the whisper goes so. Our last king,"
32532,Hamlet,HORATIO,"Whose image even but now appear'd to us,"
32533,Hamlet,HORATIO,"Was, as you know, by Fortinbras of Norway,"
32534,Hamlet,HORATIO,"Thereto prick'd on by a most emulate pride,"
32535,Hamlet,HORATIO,"Dared to the combat, in which our valiant Hamlet--"
32536,Hamlet,HORATIO,For so this side of our known world esteem'd him--
32537,Hamlet,HORATIO,"Did slay this Fortinbras, who by a seal'd compact,"
32538,Hamlet,HORATIO,"Well ratified by law and heraldry,"
32539,Hamlet,HORATIO,"Did forfeit, with his life, all those his lands"
32540,Hamlet,HORATIO,"Which he stood seized of, to the conqueror:"
32541,Hamlet,HORATIO,"Against the which, a moiety competent"
32542,Hamlet,HORATIO,"Was gaged by our king, which had return'd"
32543,Hamlet,HORATIO,"To the inheritance of Fortinbras,"
32544,Hamlet,HORATIO,"Had he been vanquisher, as, by the same covenant,"
32545,Hamlet,HORATIO,"And carriage of the article design'd,"
32546,Hamlet,HORATIO,"His fell to Hamlet. Now, sir, young Fortinbras,"
32547,Hamlet,HORATIO,"Of unimproved mettle hot and full,"
32548,Hamlet,HORATIO,Hath in the skirts of Norway here and there
32549,Hamlet,HORATIO,"Shark'd up a list of lawless resolutes,"
32550,Hamlet,HORATIO,"For food and diet, to some enterprise"
32551,Hamlet,HORATIO,"That hath a stomach in't, which is no other--"
32552,Hamlet,HORATIO,As it doth well appear unto our state--
32553,Hamlet,HORATIO,"But to recover of us, by strong hand"
32554,Hamlet,HORATIO,"And terms compulsatory, those foresaid lands"
32555,Hamlet,HORATIO,"So by his father lost: and this, I take it,"
32556,Hamlet,HORATIO,"Is the main motive of our preparations,"
32557,Hamlet,HORATIO,The source of this our watch and the chief head
32558,Hamlet,HORATIO,Of this post-haste and romage in the land.
32559,Hamlet,BERNARDO,I think it be no other but e'en so:
32560,Hamlet,BERNARDO,Well may it sort that this portentous figure
32561,Hamlet,BERNARDO,"Comes armed through our watch, so like the king"
32562,Hamlet,BERNARDO,That was and is the question of these wars.
32563,Hamlet,HORATIO,A mote it is to trouble the mind's eye.
32564,Hamlet,HORATIO,"In the most high and palmy state of Rome,"
32565,Hamlet,HORATIO,"A little ere the mightiest Julius fell,"
32566,Hamlet,HORATIO,The graves stood tenantless and the sheeted dead
32567,Hamlet,HORATIO,Did squeak and gibber in the Roman streets:
32568,Hamlet,HORATIO,"As stars with trains of fire and dews of blood,"
32569,Hamlet,HORATIO,"Disasters in the sun, and the moist star"
32570,Hamlet,HORATIO,Upon whose influence Neptune's empire stands
32571,Hamlet,HORATIO,Was sick almost to doomsday with eclipse:
32572,Hamlet,HORATIO,"And even the like precurse of fierce events,"
32573,Hamlet,HORATIO,As harbingers preceding still the fates
32574,Hamlet,HORATIO,"And prologue to the omen coming on,"
32575,Hamlet,HORATIO,Have heaven and earth together demonstrated
32576,Hamlet,HORATIO,Unto our climatures and countrymen.--
32577,Hamlet,HORATIO,"But soft, behold! lo, where it comes again!"
32578,Hamlet,HORATIO,Re-enter Ghost
32579,Hamlet,HORATIO,"I'll cross it, though it blast me. Stay, illusion!"
32580,Hamlet,HORATIO,"If thou hast any sound, or use of voice,"
32581,Hamlet,HORATIO,Speak to me:
32582,Hamlet,HORATIO,"If there be any good thing to be done,"
32583,Hamlet,HORATIO,"That may to thee do ease and grace to me,"
32584,Hamlet,HORATIO,Speak to me:
32585,Hamlet,HORATIO,Cock crows
32586,Hamlet,HORATIO,"If thou art privy to thy country's fate,"
32587,Hamlet,HORATIO,"Which, happily, foreknowing may avoid, O, speak!"
32588,Hamlet,HORATIO,Or if thou hast uphoarded in thy life
32589,Hamlet,HORATIO,"Extorted treasure in the womb of earth,"
32590,Hamlet,HORATIO,"For which, they say, you spirits oft walk in death,"
32591,Hamlet,HORATIO,"Speak of it: stay, and speak! Stop it, Marcellus."
32592,Hamlet,MARCELLUS,Shall I strike at it with my partisan?
32593,Hamlet,HORATIO,"Do, if it will not stand."
32594,Hamlet,BERNARDO,'Tis here!
32595,Hamlet,HORATIO,'Tis here!
32596,Hamlet,MARCELLUS,'Tis gone!
32597,Hamlet,MARCELLUS,Exit Ghost
32598,Hamlet,MARCELLUS,"We do it wrong, being so majestical,"
32599,Hamlet,MARCELLUS,"To offer it the show of violence,"
32600,Hamlet,MARCELLUS,"For it is, as the air, invulnerable,"
32601,Hamlet,MARCELLUS,And our vain blows malicious mockery.
32602,Hamlet,BERNARDO,"It was about to speak, when the cock crew."
32603,Hamlet,HORATIO,And then it started like a guilty thing
32604,Hamlet,HORATIO,"Upon a fearful summons. I have heard,"
32605,Hamlet,HORATIO,"The cock, that is the trumpet to the morn,"
32606,Hamlet,HORATIO,Doth with his lofty and shrill-sounding throat
32607,Hamlet,HORATIO,"Awake the god of day, and, at his warning,"
32608,Hamlet,HORATIO,"Whether in sea or fire, in earth or air,"
32609,Hamlet,HORATIO,The extravagant and erring spirit hies
32610,Hamlet,HORATIO,To his confine: and of the truth herein
32611,Hamlet,HORATIO,This present object made probation.
32612,Hamlet,MARCELLUS,It faded on the crowing of the cock.
32613,Hamlet,MARCELLUS,Some say that ever 'gainst that season comes
32614,Hamlet,MARCELLUS,"Wherein our Saviour's birth is celebrated,"
32615,Hamlet,MARCELLUS,The bird of dawning singeth all night long:
32616,Hamlet,MARCELLUS,"And then, they say, no spirit dares stir abroad,"
32617,Hamlet,MARCELLUS,"The nights are wholesome, then no planets strike,"
32618,Hamlet,MARCELLUS,"No fairy takes, nor witch hath power to charm,"
32619,Hamlet,MARCELLUS,So hallow'd and so gracious is the time.
32620,Hamlet,HORATIO,So have I heard and do in part believe it.
32621,Hamlet,HORATIO,"But, look, the morn, in russet mantle clad,"
32622,Hamlet,HORATIO,Walks o'er the dew of yon high eastward hill:
32623,Hamlet,HORATIO,"Break we our watch up, and by my advice,"
32624,Hamlet,HORATIO,Let us impart what we have seen to-night
32625,Hamlet,HORATIO,"Unto young Hamlet, for, upon my life,"
32626,Hamlet,HORATIO,"This spirit, dumb to us, will speak to him."
32627,Hamlet,HORATIO,"Do you consent we shall acquaint him with it,"
32628,Hamlet,HORATIO,"As needful in our loves, fitting our duty?"
32629,Hamlet,MARCELLUS,"Let's do't, I pray, and I this morning know"
32630,Hamlet,MARCELLUS,Where we shall find him most conveniently.
32631,Hamlet,MARCELLUS,Exeunt
32632,Hamlet,MARCELLUS,SCENE II. A room of state in the castle.
32633,Hamlet,MARCELLUS,"Enter KING CLAUDIUS, QUEEN GERTRUDE, HAMLET,  POLONIUS, LAERTES, VOLTIMAND, CORNELIUS, Lords, and Attendants"
32634,Hamlet,KING CLAUDIUS,Though yet of Hamlet our dear brother's death
32635,Hamlet,KING CLAUDIUS,"The memory be green, and that it us befitted"
32636,Hamlet,KING CLAUDIUS,To bear our hearts in grief and our whole kingdom
32637,Hamlet,KING CLAUDIUS,"To be contracted in one brow of woe,"
32638,Hamlet,KING CLAUDIUS,Yet so far hath discretion fought with nature
32639,Hamlet,KING CLAUDIUS,"That we with wisest sorrow think on him,"
32640,Hamlet,KING CLAUDIUS,Together with remembrance of ourselves.
32641,Hamlet,KING CLAUDIUS,"Therefore our sometime sister, now our queen,"
32642,Hamlet,KING CLAUDIUS,"The imperial jointress to this warlike state,"
32643,Hamlet,KING CLAUDIUS,"Have we, as 'twere with a defeated joy,--"
32644,Hamlet,KING CLAUDIUS,"With an auspicious and a dropping eye,"
32645,Hamlet,KING CLAUDIUS,"With mirth in funeral and with dirge in marriage,"
32646,Hamlet,KING CLAUDIUS,"In equal scale weighing delight and dole,--"
32647,Hamlet,KING CLAUDIUS,Taken to wife: nor have we herein barr'd
32648,Hamlet,KING CLAUDIUS,"Your better wisdoms, which have freely gone"
32649,Hamlet,KING CLAUDIUS,"With this affair along. For all, our thanks."
32650,Hamlet,KING CLAUDIUS,"Now follows, that you know, young Fortinbras,"
32651,Hamlet,KING CLAUDIUS,"Holding a weak supposal of our worth,"
32652,Hamlet,KING CLAUDIUS,Or thinking by our late dear brother's death
32653,Hamlet,KING CLAUDIUS,"Our state to be disjoint and out of frame,"
32654,Hamlet,KING CLAUDIUS,"Colleagued with the dream of his advantage,"
32655,Hamlet,KING CLAUDIUS,"He hath not fail'd to pester us with message,"
32656,Hamlet,KING CLAUDIUS,Importing the surrender of those lands
32657,Hamlet,KING CLAUDIUS,"Lost by his father, with all bonds of law,"
32658,Hamlet,KING CLAUDIUS,To our most valiant brother. So much for him.
32659,Hamlet,KING CLAUDIUS,Now for ourself and for this time of meeting:
32660,Hamlet,KING CLAUDIUS,Thus much the business is: we have here writ
32661,Hamlet,KING CLAUDIUS,"To Norway, uncle of young Fortinbras,--"
32662,Hamlet,KING CLAUDIUS,"Who, impotent and bed-rid, scarcely hears"
32663,Hamlet,KING CLAUDIUS,"Of this his nephew's purpose,--to suppress"
32664,Hamlet,KING CLAUDIUS,"His further gait herein, in that the levies,"
32665,Hamlet,KING CLAUDIUS,"The lists and full proportions, are all made"
32666,Hamlet,KING CLAUDIUS,Out of his subject: and we here dispatch
32667,Hamlet,KING CLAUDIUS,"You, good Cornelius, and you, Voltimand,"
32668,Hamlet,KING CLAUDIUS,"For bearers of this greeting to old Norway,"
32669,Hamlet,KING CLAUDIUS,Giving to you no further personal power
32670,Hamlet,KING CLAUDIUS,"To business with the king, more than the scope"
32671,Hamlet,KING CLAUDIUS,Of these delated articles allow.
32672,Hamlet,KING CLAUDIUS,"Farewell, and let your haste commend your duty."
32673,Hamlet,VOLTIMAND,In that and all things will we show our duty.
32674,Hamlet,KING CLAUDIUS,We doubt it nothing: heartily farewell.
32675,Hamlet,KING CLAUDIUS,Exeunt VOLTIMAND and CORNELIUS
32676,Hamlet,KING CLAUDIUS,"And now, Laertes, what's the news with you?"
32677,Hamlet,KING CLAUDIUS,"You told us of some suit, what is't, Laertes?"
32678,Hamlet,KING CLAUDIUS,"You cannot speak of reason to the Dane,"
32679,Hamlet,KING CLAUDIUS,"And loose your voice: what wouldst thou beg, Laertes,"
32680,Hamlet,KING CLAUDIUS,"That shall not be my offer, not thy asking?"
32681,Hamlet,KING CLAUDIUS,"The head is not more native to the heart,"
32682,Hamlet,KING CLAUDIUS,"The hand more instrumental to the mouth,"
32683,Hamlet,KING CLAUDIUS,Than is the throne of Denmark to thy father.
32684,Hamlet,KING CLAUDIUS,"What wouldst thou have, Laertes?"
32685,Hamlet,LAERTES,"My dread lord,"
32686,Hamlet,LAERTES,"Your leave and favour to return to France,"
32687,Hamlet,LAERTES,"From whence though willingly I came to Denmark,"
32688,Hamlet,LAERTES,"To show my duty in your coronation,"
32689,Hamlet,LAERTES,"Yet now, I must confess, that duty done,"
32690,Hamlet,LAERTES,My thoughts and wishes bend again toward France
32691,Hamlet,LAERTES,And bow them to your gracious leave and pardon.
32692,Hamlet,KING CLAUDIUS,Have you your father's leave? What says Polonius?
32693,Hamlet,LORD POLONIUS,"He hath, my lord, wrung from me my slow leave"
32694,Hamlet,LORD POLONIUS,"By laboursome petition, and at last"
32695,Hamlet,LORD POLONIUS,Upon his will I seal'd my hard consent:
32696,Hamlet,LORD POLONIUS,"I do beseech you, give him leave to go."
32697,Hamlet,KING CLAUDIUS,"Take thy fair hour, Laertes, time be thine,"
32698,Hamlet,KING CLAUDIUS,And thy best graces spend it at thy will!
32699,Hamlet,KING CLAUDIUS,"But now, my cousin Hamlet, and my son,--"
32700,Hamlet,HAMLET,"[Aside]  A little more than kin, and less than kind."
32701,Hamlet,KING CLAUDIUS,How is it that the clouds still hang on you?
32702,Hamlet,HAMLET,"Not so, my lord, I am too much i' the sun."
32703,Hamlet,QUEEN GERTRUDE,"Good Hamlet, cast thy nighted colour off,"
32704,Hamlet,QUEEN GERTRUDE,And let thine eye look like a friend on Denmark.
32705,Hamlet,QUEEN GERTRUDE,Do not for ever with thy vailed lids
32706,Hamlet,QUEEN GERTRUDE,Seek for thy noble father in the dust:
32707,Hamlet,QUEEN GERTRUDE,"Thou know'st 'tis common, all that lives must die,"
32708,Hamlet,QUEEN GERTRUDE,Passing through nature to eternity.
32709,Hamlet,HAMLET,"Ay, madam, it is common."
32710,Hamlet,QUEEN GERTRUDE,"If it be,"
32711,Hamlet,QUEEN GERTRUDE,Why seems it so particular with thee?
32712,Hamlet,HAMLET,"Seems, madam! nay it is, I know not 'seems.'"
32713,Hamlet,HAMLET,"'Tis not alone my inky cloak, good mother,"
32714,Hamlet,HAMLET,"Nor customary suits of solemn black,"
32715,Hamlet,HAMLET,"Nor windy suspiration of forced breath,"
32716,Hamlet,HAMLET,"No, nor the fruitful river in the eye,"
32717,Hamlet,HAMLET,"Nor the dejected 'havior of the visage,"
32718,Hamlet,HAMLET,"Together with all forms, moods, shapes of grief,"
32719,Hamlet,HAMLET,"That can denote me truly: these indeed seem,"
32720,Hamlet,HAMLET,For they are actions that a man might play:
32721,Hamlet,HAMLET,"But I have that within which passeth show,"
32722,Hamlet,HAMLET,These but the trappings and the suits of woe.
32723,Hamlet,KING CLAUDIUS,"'Tis sweet and commendable in your nature, Hamlet,"
32724,Hamlet,KING CLAUDIUS,To give these mourning duties to your father:
32725,Hamlet,KING CLAUDIUS,"But, you must know, your father lost a father,"
32726,Hamlet,KING CLAUDIUS,"That father lost, lost his, and the survivor bound"
32727,Hamlet,KING CLAUDIUS,In filial obligation for some term
32728,Hamlet,KING CLAUDIUS,To do obsequious sorrow: but to persever
32729,Hamlet,KING CLAUDIUS,In obstinate condolement is a course
32730,Hamlet,KING CLAUDIUS,"Of impious stubbornness, 'tis unmanly grief,"
32731,Hamlet,KING CLAUDIUS,"It shows a will most incorrect to heaven,"
32732,Hamlet,KING CLAUDIUS,"A heart unfortified, a mind impatient,"
32733,Hamlet,KING CLAUDIUS,An understanding simple and unschool'd:
32734,Hamlet,KING CLAUDIUS,For what we know must be and is as common
32735,Hamlet,KING CLAUDIUS,"As any the most vulgar thing to sense,"
32736,Hamlet,KING CLAUDIUS,Why should we in our peevish opposition
32737,Hamlet,KING CLAUDIUS,"Take it to heart? Fie! 'tis a fault to heaven,"
32738,Hamlet,KING CLAUDIUS,"A fault against the dead, a fault to nature,"
32739,Hamlet,KING CLAUDIUS,To reason most absurd: whose common theme
32740,Hamlet,KING CLAUDIUS,"Is death of fathers, and who still hath cried,"
32741,Hamlet,KING CLAUDIUS,"From the first corse till he that died to-day,"
32742,Hamlet,KING CLAUDIUS,"'This must be so.' We pray you, throw to earth"
32743,Hamlet,KING CLAUDIUS,"This unprevailing woe, and think of us"
32744,Hamlet,KING CLAUDIUS,"As of a father: for let the world take note,"
32745,Hamlet,KING CLAUDIUS,"You are the most immediate to our throne,"
32746,Hamlet,KING CLAUDIUS,And with no less nobility of love
32747,Hamlet,KING CLAUDIUS,"Than that which dearest father bears his son,"
32748,Hamlet,KING CLAUDIUS,Do I impart toward you. For your intent
32749,Hamlet,KING CLAUDIUS,"In going back to school in Wittenberg,"
32750,Hamlet,KING CLAUDIUS,It is most retrograde to our desire:
32751,Hamlet,KING CLAUDIUS,"And we beseech you, bend you to remain"
32752,Hamlet,KING CLAUDIUS,"Here, in the cheer and comfort of our eye,"
32753,Hamlet,KING CLAUDIUS,"Our chiefest courtier, cousin, and our son."
32754,Hamlet,QUEEN GERTRUDE,"Let not thy mother lose her prayers, Hamlet:"
32755,Hamlet,QUEEN GERTRUDE,"I pray thee, stay with us, go not to Wittenberg."
32756,Hamlet,HAMLET,"I shall in all my best obey you, madam."
32757,Hamlet,KING CLAUDIUS,"Why, 'tis a loving and a fair reply:"
32758,Hamlet,KING CLAUDIUS,"Be as ourself in Denmark. Madam, come,"
32759,Hamlet,KING CLAUDIUS,This gentle and unforced accord of Hamlet
32760,Hamlet,KING CLAUDIUS,"Sits smiling to my heart: in grace whereof,"
32761,Hamlet,KING CLAUDIUS,"No jocund health that Denmark drinks to-day,"
32762,Hamlet,KING CLAUDIUS,"But the great cannon to the clouds shall tell,"
32763,Hamlet,KING CLAUDIUS,"And the king's rouse the heavens all bruit again,"
32764,Hamlet,KING CLAUDIUS,Re-speaking earthly thunder. Come away.
32765,Hamlet,KING CLAUDIUS,Exeunt all but HAMLET
32766,Hamlet,HAMLET,"O, that this too too solid flesh would melt"
32767,Hamlet,HAMLET,Thaw and resolve itself into a dew!
32768,Hamlet,HAMLET,Or that the Everlasting had not fix'd
32769,Hamlet,HAMLET,His canon 'gainst self-slaughter! O God! God!
32770,Hamlet,HAMLET,"How weary, stale, flat and unprofitable,"
32771,Hamlet,HAMLET,Seem to me all the uses of this world!
32772,Hamlet,HAMLET,"Fie on't! ah fie! 'tis an unweeded garden,"
32773,Hamlet,HAMLET,"That grows to seed, things rank and gross in nature"
32774,Hamlet,HAMLET,Possess it merely. That it should come to this!
32775,Hamlet,HAMLET,"But two months dead: nay, not so much, not two:"
32776,Hamlet,HAMLET,"So excellent a king, that was, to this,"
32777,Hamlet,HAMLET,"Hyperion to a satyr, so loving to my mother"
32778,Hamlet,HAMLET,That he might not beteem the winds of heaven
32779,Hamlet,HAMLET,Visit her face too roughly. Heaven and earth!
32780,Hamlet,HAMLET,"Must I remember? why, she would hang on him,"
32781,Hamlet,HAMLET,As if increase of appetite had grown
32782,Hamlet,HAMLET,"By what it fed on: and yet, within a month--"
32783,Hamlet,HAMLET,"Let me not think on't--Frailty, thy name is woman!--"
32784,Hamlet,HAMLET,"A little month, or ere those shoes were old"
32785,Hamlet,HAMLET,"With which she follow'd my poor father's body,"
32786,Hamlet,HAMLET,"Like Niobe, all tears:--why she, even she--"
32787,Hamlet,HAMLET,"O, God! a beast, that wants discourse of reason,"
32788,Hamlet,HAMLET,"Would have mourn'd longer--married with my uncle,"
32789,Hamlet,HAMLET,"My father's brother, but no more like my father"
32790,Hamlet,HAMLET,Than I to Hercules: within a month:
32791,Hamlet,HAMLET,Ere yet the salt of most unrighteous tears
32792,Hamlet,HAMLET,"Had left the flushing in her galled eyes,"
32793,Hamlet,HAMLET,"She married. O, most wicked speed, to post"
32794,Hamlet,HAMLET,With such dexterity to incestuous sheets!
32795,Hamlet,HAMLET,It is not nor it cannot come to good:
32796,Hamlet,HAMLET,"But break, my heart, for I must hold my tongue."
32797,Hamlet,HAMLET,"Enter HORATIO, MARCELLUS, and BERNARDO"
32798,Hamlet,HORATIO,Hail to your lordship!
32799,Hamlet,HAMLET,I am glad to see you well:
32800,Hamlet,HAMLET,"Horatio,--or I do forget myself."
32801,Hamlet,HORATIO,"The same, my lord, and your poor servant ever."
32802,Hamlet,HAMLET,"Sir, my good friend, I'll change that name with you:"
32803,Hamlet,HAMLET,"And what make you from Wittenberg, Horatio? Marcellus?"
32804,Hamlet,MARCELLUS,My good lord--
32805,Hamlet,HAMLET,"I am very glad to see you. Good even, sir."
32806,Hamlet,HAMLET,"But what, in faith, make you from Wittenberg?"
32807,Hamlet,HORATIO,"A truant disposition, good my lord."
32808,Hamlet,HAMLET,"I would not hear your enemy say so,"
32809,Hamlet,HAMLET,"Nor shall you do mine ear that violence,"
32810,Hamlet,HAMLET,To make it truster of your own report
32811,Hamlet,HAMLET,Against yourself: I know you are no truant.
32812,Hamlet,HAMLET,But what is your affair in Elsinore?
32813,Hamlet,HAMLET,We'll teach you to drink deep ere you depart.
32814,Hamlet,HORATIO,"My lord, I came to see your father's funeral."
32815,Hamlet,HAMLET,"I pray thee, do not mock me, fellow-student,"
32816,Hamlet,HAMLET,I think it was to see my mother's wedding.
32817,Hamlet,HORATIO,"Indeed, my lord, it follow'd hard upon."
32818,Hamlet,HAMLET,"Thrift, thrift, Horatio! the funeral baked meats"
32819,Hamlet,HAMLET,Did coldly furnish forth the marriage tables.
32820,Hamlet,HAMLET,Would I had met my dearest foe in heaven
32821,Hamlet,HAMLET,"Or ever I had seen that day, Horatio!"
32822,Hamlet,HAMLET,My father!--methinks I see my father.
32823,Hamlet,HORATIO,"Where, my lord?"
32824,Hamlet,HAMLET,"In my mind's eye, Horatio."
32825,Hamlet,HORATIO,"I saw him once, he was a goodly king."
32826,Hamlet,HAMLET,"He was a man, take him for all in all,"
32827,Hamlet,HAMLET,I shall not look upon his like again.
32828,Hamlet,HORATIO,"My lord, I think I saw him yesternight."
32829,Hamlet,HAMLET,Saw? who?
32830,Hamlet,HORATIO,"My lord, the king your father."
32831,Hamlet,HAMLET,The king my father!
32832,Hamlet,HORATIO,Season your admiration for awhile
32833,Hamlet,HORATIO,"With an attent ear, till I may deliver,"
32834,Hamlet,HORATIO,"Upon the witness of these gentlemen,"
32835,Hamlet,HORATIO,This marvel to you.
32836,Hamlet,HAMLET,"For God's love, let me hear."
32837,Hamlet,HORATIO,"Two nights together had these gentlemen,"
32838,Hamlet,HORATIO,"Marcellus and Bernardo, on their watch,"
32839,Hamlet,HORATIO,"In the dead vast and middle of the night,"
32840,Hamlet,HORATIO,"Been thus encounter'd. A figure like your father,"
32841,Hamlet,HORATIO,"Armed at point exactly, cap-a-pe,"
32842,Hamlet,HORATIO,"Appears before them, and with solemn march"
32843,Hamlet,HORATIO,Goes slow and stately by them: thrice he walk'd
32844,Hamlet,HORATIO,"By their oppress'd and fear-surprised eyes,"
32845,Hamlet,HORATIO,"Within his truncheon's length, whilst they, distilled"
32846,Hamlet,HORATIO,"Almost to jelly with the act of fear,"
32847,Hamlet,HORATIO,Stand dumb and speak not to him. This to me
32848,Hamlet,HORATIO,"In dreadful secrecy impart they did,"
32849,Hamlet,HORATIO,"And I with them the third night kept the watch,"
32850,Hamlet,HORATIO,"Where, as they had deliver'd, both in time,"
32851,Hamlet,HORATIO,"Form of the thing, each word made true and good,"
32852,Hamlet,HORATIO,"The apparition comes: I knew your father,"
32853,Hamlet,HORATIO,These hands are not more like.
32854,Hamlet,HAMLET,But where was this?
32855,Hamlet,MARCELLUS,"My lord, upon the platform where we watch'd."
